bairro;codB;grupo;n;proporção;pop;dens;rendaSM;ids;amostra;perc
Abolição;70;3;7;0,50000;11356;0,61641423;2,104;0,633;2;1,666666667
Campinho;78;3;1;0,14290;10156;0,098463962;2,066;0,61;2;3,5
Coelho Neto;110;3;1;0,03130;32423;0,030842303;1,144;0,573;2;1
Costa Barros;113;3;0;0,00000;28442;0;0,687;0,535;2;2,666666667
Freguesia (Ilha);98;3;3;0,16670;19437;0,154344806;1,862;0,61;2;2
Galeão;104;3;4;0,44440;22971;0,174132602;1,361;0,571;2;1,333333333
Gardênia Azul;117;3;4;0,19050;17715;0,225797347;1,232;0,57;2;1,166666667
Itanhangá;127;3;4;0,15380;41801;0,095691491;1,941;0,527;2;1,666666667
Madureira;83;3;16;0,14160;50106;0,319323035;1,581;0,597;2;2,166666667
Magalhães Bastos;138;3;4;0,19050;24430;0,163733115;1,261;0,575;2;2
Pitangueiras;94;3;0;0,00000;11756;0;1,442;0,589;2;1,166666667
Riachuelo;59;3;2;0,20000;12653;0,158065281;2,444;0,648;2;1,333333333
Ribeira;91;3;0;0,00000;3528;0;3,246;0,672;2;1,833333333
Santo Cristo;3;3;10;0,32260;12330;0,811030008;1,082;0,569;2;3,333333333
Vargem Grande;131;3;2;0,22220;14039;0,142460289;1,601;0,453;2;1,833333333
Catumbi;6;3;1;0,09090;12556;0,079643198;1,233;0,58;1;1,666666667
Deodoro;134;3;4;0,57140;10842;0,368935621;0,982;0,554;1;1
Engenheiro Leal;81;3;0;0,00000;6113;0;1,118;0,563;1;1,333333333
Estácio;9;3;5;0,26320;17189;0,290883705;1,49;0,586;1;1
Jacaré;51;3;3;0,15000;9276;0,323415265;1,2;0,571;1;3,333333333
Pedra de Guaratiba;153;3;2;0,25000;9488;0,21079258;1,464;0,559;1;1,666666667
Sampaio;60;3;2;0,66670;10895;0,183570445;1,309;0,578;1;1
Sepetiba;150;3;0;0,00000;56575;0;0,882;0,517;1;2
Vila Militar;135;3;2;0,66670;13184;0,151699029;1,737;0,583;1;1,333333333
Acari;111;3;0;0,00000;27347;0;0,625;0,526;0;0
Bancários;97;3;0;0,00000;12512;0;1,59;0,6;0;0
Barra de Guaratiba;152;3;0;0,00000;3577;0;1,365;0,502;0;0
Barros Filho;112;3;0;0,00000;14049;0;0,715;0,527;0;0
Cacuia;93;3;4;0,20000;11013;0,363207119;1,649;0,602;0;0
Caju;4;3;3;0,50000;20477;0,146505836;0,795;0,554;0;0
Camorim;129;3;4;0,44440;1970;2,030456853;2,591;0,518;0;0
Campo dos Afonsos;136;3;2;0,50000;1365;1,465201465;3,332;0,701;0;0
Cidade de Deus;118;3;1;0,06250;37730;0,026504108;0,896;0,559;0;0
Cidade Nova;8;3;9;0,27270;5466;1,646542261;1,648;0,594;0;0
Cidade Universitária;105;3;15;0,60000;1556;9,640102828;1,512;0,563;0;0
Cocotá;96;3;7;0,41180;4877;1,435308591;2,552;0,655;0;0
Gamboa;2;3;1;0,50000;13108;0,076289289;0,923;0,559;0;0
Grumari;133;3;0;0,00000;167;0;0,503;0,282;0;0
Guaratiba;151;3;1;0,02780;110049;0,009086861;0,887;0,487;0;0
Honório Gurgel;87;3;5;0,29410;21989;0,22738642;1,184;0,574;0;0
Paquetá;13;3;1;0,12500;3361;0,297530497;2,038;0,608;0;0
Santíssimo;143;3;0;0,00000;41458;0;1,045;0,558;0;0
Saúde;1;3;14;0,35000;2749;5,092761004;1,295;0,583;0;0
Turiaçu;85;3;0;0,00000;17246;0;1,299;0,579;0;0
Vargem Pequena;130;3;4;0,36360;20973;0,190721404;1,457;0,519;0;0
Vasco da Gama;159;3;1;0,50000;15482;0,064591138;1,409;0,593;0;0
Zumbi;92;3;2;0,40000;2016;0,992063492;3,243;0,676;0;0
